year,title,IMDb ID
2019,Parasite,tt6751668
2018,Green Book,tt6966692
2017,The Shape of Water,tt5580390
2016,Moonlight,tt4975722
2015,Spotlight,tt1895587
2014,Birdman,tt2562232
2013,12 Years a Slave,tt2024544
2012,Argo,tt1024648
2011,The Artist,tt1655442
2010,The King's Speech,tt1504320
2009,The Hurt Locker,tt0887912
2008,Slumdog Millionaire,tt1010048
2007,No Country for Old Men,tt0477348
2006,The Departed,tt0407887
2005,Crash,tt0375679
2004,Million Dollar Baby,tt0405159
2003,The Lord of the Rings: The Return of the King,tt0167260
2002,Chicago,tt0299658
2001,A Beautiful Mind,tt0268978
2000,Gladiator,tt0172495
1999,American Beauty,tt0169547
1998,Shakespeare in Love,tt0138097
1997,Titanic,tt0120338
1996,The English Patient,tt0116209
1995,Braveheart,tt0112573
1994,Forrest Gump,tt0109830
1993,Schindler's List,tt0108052
1992,Unforgiven,tt0105695
1991,The Silence of the Lambs,tt0102926
1990,Dances with Wolves,tt0099348
1989,Driving Miss Daisy,tt0097239
1988,Rain Man,tt0095953
1987,The Last Emperor,tt0093389
1986,Platoon,tt0091763
1985,Out of Africa,tt0089755
1984,Amadeus,tt0086879
1983,Terms of Endearment,tt0086425
1982,Gandhi,tt0083987
1981,Chariots of Fire,tt0082158
1980,Ordinary People,tt0081283
1979,Kramer vs. Kramer,tt0079417
1978,The Deer Hunter,tt0077416
1977,Annie Hall,tt0075686
1976,Rocky,tt0075148
1975,One Flew over the Cuckoo's Nest,tt0073486
1974,The Godfather Part II,tt0071562
1973,The Sting,tt0070735
1972,The Godfather,tt0068646
1971,The French Connection,tt0067116
1970,Patton,tt0066206
1969,Midnight Cowboy,tt0064665
1968,Oliver!,tt0063385
1967,In the Heat of the Night,tt0061811
1966,A Man for All Seasons,tt0060665
1965,The Sound of Music,tt0059742
1964,My Fair Lady,tt0058385
1963,Tom Jones,tt0057590
1962,Lawrence of Arabia,tt0056172
1961,West Side Story,tt0055614
1960,The Apartment,tt0053604
1959,Ben-Hur,tt0052618
1958,Gigi,tt0051658
1957,The Bridge on the River Kwai,tt0050212
1956,Around the World in 80 Days,tt0048960
1955,Marty,tt0048356
1954,On the Waterfront,tt0047296
1953,From Here to Eternity,tt0045793
1952,The Greatest Show on Earth,tt0044672
1951,An American in Paris,tt0043278
1950,All About Eve,tt0042192
1949,All the King's Men,tt0041113
1948,Hamlet,tt0040416
1947,Gentleman's Agreement,tt0039416
1946,The Best Years of Our Lives,tt0036868
1945,The Lost Weekend,tt0037884
1944,Going My Way,tt0036872
1943,Casablanca,tt0034583
1942,Mrs. Miniver,tt0035093
1941,How Green Was My Valley,tt0033729
1940,Rebecca,tt0032976
1939,Gone with the Wind,tt0031381
1938,You Can't Take It with You,tt0030993
1937,The Life of Emile Zola,tt0029146
1936,The Great Ziegfeld,tt0027698
1935,Mutiny on the Bounty,tt0026752
1934,It Happened One Night,tt0025316
1932,Cavalcade,tt0023876
1931,Grand Hotel,tt0022958
1930,Cimarron,tt0021746
1929,All Quiet on the Western Front,tt0020629
1928,The Broadway Melody,tt0019729
1927,Wings,tt0018578
